Country,num_test_amp,isol_res_amp,propres_amp,num_test_tet,isol_res_tet,propres_tet,sales_amp,sales_tet,total_pcu,pig_pcu,prop_pig_pcu,scaled_sales_amp,scaled_sales_tet
Austria,5,5,1,5,5,1,9.5,26.9,957,361,0.377220481,3.583594566,10.14723093
Belgium,103,58,0.563106796,103,45,0.436893204,42.8,28.9,1724,858,0.497679814,21.30069606,14.38294664
Bulgaria,4,0,0,4,0,0,22.1,41.5,400,94,0.235,5.1935,9.7525
Croatia,46,19,0.413043478,46,21,0.456521739,17.8,19.7,293,87,0.296928328,5.285324232,5.849488055
Cyprus,2,0,0,2,0,0,83,155.2,115,45,0.391304348,32.47826087,60.73043478
Czechia,11,7,0.636363636,11,8,0.727272727,17.6,16.1,705,203,0.287943262,5.067801418,4.635886525
Denmark,125,57,0.456,125,57,0.456,11.5,6.6,2447,1803,0.736820597,8.473436861,4.863015938
Estonia,9,1,0.111111111,9,0,0,18.3,11.2,114,40,0.350877193,6.421052632,3.929824561
Finland,5,0,0,5,0,0,8.9,4.5,497,142,0.285714286,2.542857143,1.285714286
France,204,90,0.441176471,204,120,0.588235294,9,25.3,7107,1804,0.253834248,2.284508231,6.422006472
Germany,15,8,0.533333333,15,4,0.266666667,34.9,22.2,8518,3712,0.435783048,15.20882836,9.674383658
Greece,2,1,0.5,2,1,0.5,15,48.9,1244,107,0.086012862,1.290192926,4.206028939
Hungary,30,13,0.433333333,30,14,0.466666667,49.2,72.5,832,336,0.403846154,19.86923077,29.27884615
Ireland,62,42,0.677419355,62,35,0.564516129,11,18.3,2142,286,0.133520075,1.468720822,2.443417367
Italy,197,93,0.472081218,197,108,0.54822335,68.7,72.6,3819,808,0.21157371,14.5351139,15.36025137
Latvia,6,3,0.5,6,3,0.5,9,9.4,167,40,0.239520958,2.155688623,2.251497006
Malta,10,1,0.1,10,2,0.2,7.9,39,14,4,0.285714286,2.257142857,11.14285714
Netherlands,23,6,0.260869565,23,8,0.347826087,13.2,21.7,3201,1607,0.502030615,6.626804124,10.89406435
Poland,20,9,0.45,20,8,0.4,55.2,47.3,4673,1468,0.314145089,17.3408089,14.8590627
Portugal,17,14,0.823529412,17,14,0.823529412,36.5,63.7,1028,344,0.33463035,12.21400778,21.31595331
Romania,3,1,0.333333333,3,0,0,12.5,25,2788,484,0.173601148,2.170014347,4.340028694
Slovakia,9,3,0.333333333,9,3,0.333333333,9.2,19.3,247,64,0.259109312,2.383805668,5.000809717
Slovenia,4,1,0.25,4,1,0.25,27.7,4.2,180,18,0.1,2.77,0.42
Spain,166,98,0.590361446,166,112,0.674698795,68.7,62.3,7865,4024,0.511633821,35.14924348,31.87478703
Sweden,1,1,1,1,1,1,8,0.7,783,198,0.252873563,2.022988506,0.177011494
United Kingdom,9,1,0.111111111,9,3,0.333333333,11.1,11.9,7216,781,0.108231707,1.201371951,1.287957317
Iceland,10,4,0.4,10,4,0.4,3.6,0.3,116,6,0.051724138,0.186206897,0.015517241
