Country,N_2015,N_2016,N_2017,N_2018,N_2019,PosIsol_2015,PosIsol_2016,PosIsol_2017,PosIsol_2018,PosIsol_2019,PropRes_2015,PropRes_2016,PropRes_2017,PropRes_2018,PropRes_2019,scale_ampusage_2015,scale_ampusage_2016,scale_ampusage_2017,scale_ampusage_2018,scale_ampusage_2019
Austria,,,,,5,,,,,5,,,,,1,3.32183908,3.238871473,3.281341719,3.583594566,
Belgium,183,92,98,,103,77,51,64,,58,0.421,0.554347826,0.653061224,,0.563106796,24.37550902,25.76571429,24.71467617,21.30069606,
Bulgaria,,,6,,4,,,2,,0,,,0.333333333,,0,2.977631579,7.814249364,4.9952,5.1935,
Croatia,31,22,25,,46,15,14,13,,19,0.484,0.636363636,0.52,,0.413043478,6.355839416,9.440559441,6.62972973,5.285324232,
Cyprus,4,,4,,2,3,,1,,0,0.75,,0.25,,0,19.33703704,33.35294118,34.10747664,32.47826087,
Czech Republic,23,19,21,22,11,6,6,9,13,7,0.261,0.315789474,0.428571429,0.590909091,0.636363636,5.006590258,4.623404255,4.942857143,36.74156028,
Denmark,78,94,69,85,125,28,40,38,38,57,0.359,0.425531915,0.550724638,0.447058824,0.456,8.716853002,8.205619835,8.694245204,8.473436861,
Estonia ,10,8,9,11,9,2,1,1,4,1,0.2,0.125,0.111111111,0.363636364,0.111111111,10.5,10.76106195,7.233333333,6.421052632,
Finland,,,,1,5,,,,0,0,,,,0,0,3.052023121,2.676391555,2.672978304,2.542857143,
France,115,,206,,204,47,,93,,90,0.409,,0.451456311,,0.441176471,2.110130125,2.540949181,2.354396931,2.284508231,
Germany,51,,31,,15,29,,20,,8,0.569,,0.64516129,,0.533333333,17.41758343,15.4302496,15.02387037,15.20882836,
Greece,,,1,,2,,,1,,1,,,1,,0.5,1.168769716,1.26327504,1.675945294,1.290192926,
Hungary,8,,19,,30,7,,5,,13,0.875,,0.263157895,,0.433333333,18.7487395,20.37740385,18.59520104,19.86923077,
Ireland,,,54,,62,,,35,,42,,,0.648148148,,0.677419355,1.458773784,1.476311768,1.28935667,1.468720822,
Italy,,42,124,95,197,,10,49,44,93,,0.238095238,0.39516129,0.463157895,0.472081218,17.90104012,14.73401361,14.79138199,14.5351139,
Latvia,2,,1,4,6,0,,0,0,3,0,,0,0,0.5,2.333333333,1.808888889,1.931818182,2.155688623,
Malta,16,,2,,10,3,,2,,1,0.188,,1,,0.1,,,0.053333333,2.257142857,
Netherlands,,15,17,,23,,5,3,,6,,0.333333333,0.176470588,,0.260869565,6.658016878,5.378699942,6.094462736,6.626804124,
Poland,10,,24,,20,6,,8,,9,0.6,,0.333333333,,0.45,14.98545194,12.10009076,17.54465741,17.3408089,
Portugal,48,10,34,3,17,25,9,11,2,14,0.521,0.9,0.323529412,0.666666667,0.823529412,8.660381143,16.39220907,12.0502994,12.21400778,
Romania,23,,6,,3,11,,3,,1,0.478,,0.5,,0.333333333,2.33094959,2.679813864,2.977160494,2.170014347,
Slovakia,11,,19,,9,3,,3,,3,0.273,,0.157894737,,0.333333333,2.033333333,1.977272727,2.330666667,2.383805668,
Slovenia,,,,,4,,,,,1,,,,,0.25,1.284971098,1.761235955,2.17173913,2.77,
Spain,128,,180,,166,70,,143,,98,0.547,,0.794444444,,0.590361446,46.09847661,45.94189944,29.70679334,35.14924348,
Sweden,,,,,1,,,,,1,,,,,1,1.856435644,1.918509317,1.925,2.022988506,
United Kingdom,9,,4,,9,3,,2,,1,0.333,,0.5,,0.111111111,1.106162908,1.038448614,0.797695085,0.757621951,
Iceland ,7,,6,,10,2,,2,,4,0.286,,0.333333333,,0.4,0.170689655,0.185,0.1584,0.186206897,
Republic of Macedonia,,,,1,,,,,1,,,,,1,,,,,,
