Country_of_Origin,Corrected_Usage_18,Normalised_Usage_2018,PIGS_Corrected_Usage_18,PIGS_Normalised_Usage_2018,LAMB_Corrected_Usage_18,LAMB_Normalised_Usage_2018,FBD_Test_2015,FBD_Test_2016,FBD_Test_2017,FBD_Test_2018,FBD_Pos_2015,FBD_Pos_2016,FBD_Pos_2017,FBD_Pos_2018,AMP_Test_N_2015,AMP_Test_N_2016,AMP_Test_N_2017,AMP_Test_N_2018,AMP_Pos_2015,AMP_Pos_2016,AMP_Pos_2017,AMP_Pos_2018,FBD_Prop_2015,FBD_Prop_2016,FBD_Prop_2017,FBD_Prop_2018,AMP_Res_Prop_2015,AMP_Res_Prop_2016,AMP_Res_Prop_2017,AMP_Res_Prop_2018
UK Origin,0.656,N/A,0.445,N/A,0.6766,N/A,,45,,3839,,45,,110,9,,4,,3,,2,,,1,,0.028653295,0.333333333,,0.5,
Netherlands,0.056485883,0.1642031,0.0981,0.176756757,0.0124,0.03834261,543,402,150,378,37,17,23,29,,15,17,,,5,3,,0.068139963,0.042288557,0.153333333,0.076719577,,0.333333333,0.176470588,
Irish Republic,0.046648517,0.1356062,0.0808,0.145585586,0.0102,0.031539889,,,,383,,,,18,,,54,,,,35,,,,,0.046997389,,,0.648148148,
Germany,0.046629713,0.1355515,0.0807,0.145405405,0.0102,0.031539889,354,,,29924,16,,,616,51,,31,,29,,20,,0.04519774,,,0.020585483,0.568627451,,0.64516129,
France,0.046289683,0.134563,0.0802,0.144504505,0.0101,0.031230674,,,,14232,,,,1531,115,,206,,47,,93,,,,,0.10757448,0.408695652,,0.451456311,
Spain,0.035796287,0.104059,0.0619,0.111531532,0.0078,0.024118738,554,668,,1215,143,113,,101,128,,180,,70,,143,,0.258122744,0.169161677,,0.083127572,0.546875,,0.794444444,
Italy,0.03033596,0.08818593,0.0525,0.094594595,0.0066,0.020408163,247,,5790,6386,6,,227,368,,42,124,,,10,49,,0.024291498,,0.039205527,0.057626057,,0.238095238,0.39516129,
Belgium,0.026145388,0.07600404,0.0453,0.081621622,0.0057,0.017625232,1189,,1048,1068,89,,57,49,183,92,98,,77,51,64,,0.074852817,,0.054389313,0.04588015,0.420765027,0.554347826,0.653061224,
Poland,0.018882142,0.05488995,0.0327,0.058918919,0.0041,0.012677798,,,2720,3239,,,37,34,10,,24,,6,,8,,,,0.013602941,0.010497067,0.6,,0.333333333,
Denmark,0.012786427,0.03716985,0.0222,0.04,0.0028,0.008658009,9543,,,,110,,,,78,94,69,85,28,40,38,38,0.011526774,,,,0.358974359,0.425531915,0.550724638,0.447058824
